['2021', '05', '16', '16', '37', '52']#T18.4L56.0
['2021', '05', '28', '01', '45', '23']#T10.7L88.0
['2021', '05', '28', '01', '55', '23']#T10.7L88.0
['2021', '05', '28', '02', '05', '23']#T10.8L88.0
['2021', '05', '28', '02', '15', '23']#T10.8L88.0
['2021', '05', '28', '02', '25', '23']#T10.7L88.0
['2021', '05', '28', '02', '35', '23']#T10.7L88.0
['2021', '05', '28', '02', '45', '23']#T10.7L88.0
['2021', '05', '28', '02', '55', '23']#T10.7L88.0
['2021', '05', '28', '03', '05', '23']#T10.7L88.0
['2021', '05', '28', '03', '15', '23']#T10.7L88.0
['2021', '05', '28', '03', '25', '23']#T10.6L88.0
['2021', '05', '28', '03', '35', '23']#T10.6L88.0
['2021', '05', '28', '03', '45', '23']#T10.6L88.0
['2021', '05', '28', '03', '55', '23']#T10.6L88.0
['2021', '05', '28', '04', '05', '23']#T10.6L88.0
['2021', '05', '28', '04', '15', '23']#T10.6L88.0
['2021', '05', '28', '04', '25', '23']#T10.5L88.0
['2021', '05', '28', '04', '35', '23']#T10.5L88.0
['2021', '05', '28', '04', '45', '23']#T10.6L88.0
['2021', '05', '28', '04', '55', '23']#T10.6L88.0
['2021', '05', '28', '05', '05', '24']#T10.6L88.0
['2021', '05', '28', '05', '15', '24']#T10.6L88.0
['2021', '05', '28', '05', '25', '24']#T10.5L88.0
['2021', '05', '28', '05', '35', '24']#T10.5L88.0
['2021', '05', '28', '05', '45', '24']#T10.6L88.0
['2021', '05', '28', '05', '55', '24']#T10.6L88.0
['2021', '05', '28', '06', '05', '24']#T10.5L88.0
['2021', '05', '28', '06', '15', '24']#T10.5L88.0
['2021', '05', '28', '06', '25', '24']#T10.6L88.0
['2021', '05', '28', '06', '35', '24']#T10.6L88.0
['2021', '05', '28', '06', '45', '24']#T10.6L88.0
['2021', '05', '28', '06', '55', '24']#T10.6L88.0
['2021', '05', '28', '07', '05', '24']#T10.6L88.0
['2021', '05', '28', '07', '15', '24']#T10.6L88.0
['2021', '05', '28', '07', '25', '24']#T10.7L88.0
['2021', '05', '28', '07', '35', '24']#T10.7L88.0
['2021', '05', '28', '07', '45', '24']#T10.8L88.0
['2021', '05', '28', '07', '55', '24']#T10.8L88.0
['2021', '05', '28', '08', '05', '24']#T10.9L88.0
['2021', '05', '28', '08', '15', '24']#T10.9L88.0
['2021', '05', '28', '08', '25', '24']#T10.9L88.0
['2021', '05', '28', '08', '35', '24']#T10.9L88.0
['2021', '05', '28', '08', '45', '24']#T10.9L88.0
['2021', '05', '28', '08', '55', '24']#T10.9L88.0
['2021', '05', '28', '09', '05', '25']#T11.0L89.00001
['2021', '05', '28', '09', '15', '25']#T11.0L89.00001
['2021', '05', '28', '09', '25', '25']#T11.4L89.00001
['2021', '05', '28', '09', '35', '25']#T11.4L89.00001
['2021', '05', '28', '09', '45', '25']#T11.3L89.00001
['2021', '05', '28', '09', '55', '25']#T11.3L89.00001
['2021', '05', '28', '10', '05', '25']#T11.8L89.00001
['2021', '05', '28', '10', '15', '25']#T11.8L89.00001
['2021', '05', '28', '10', '25', '25']#T12.2L89.00001
['2021', '05', '28', '10', '35', '25']#T12.2L89.00001
['2021', '05', '28', '10', '45', '25']#T12.5L89.00001
['2021', '05', '28', '10', '55', '25']#T12.5L89.00001
['2021', '05', '28', '11', '05', '25']#T12.4L88.0
['2021', '05', '28', '11', '15', '25']#T12.4L88.0
['2021', '05', '28', '11', '25', '25']#T12.3L87.0
['2021', '05', '28', '11', '35', '25']#T12.3L87.0
['2021', '05', '28', '11', '45', '25']#T13.1L88.0
['2021', '05', '28', '11', '55', '25']#T13.1L88.0
['2021', '05', '28', '12', '05', '25']#T13.9L84.00001
['2021', '05', '28', '12', '15', '25']#T13.9L84.00001
['2021', '05', '28', '12', '25', '25']#T14.1L80.0
['2021', '05', '28', '12', '35', '25']#T14.1L80.0
['2021', '05', '28', '12', '45', '25']#T13.7L80.0
['2021', '05', '28', '12', '55', '25']#T13.7L80.0
['2021', '05', '28', '13', '05', '25']#T14.8L78.0
['2021', '05', '28', '13', '15', '25']#T14.8L78.0
['2021', '05', '28', '13', '25', '25']#T13.3L83.0
['2021', '05', '28', '13', '35', '25']#T13.3L83.0
['2021', '05', '28', '13', '45', '25']#T12.3L86.0
['2021', '05', '28', '13', '55', '25']#T12.3L86.0
['2021', '05', '28', '14', '05', '25']#T12.2L88.0
['2021', '05', '28', '14', '15', '25']#T12.2L88.0
['2021', '05', '28', '14', '25', '26']#T12.8L88.0
['2021', '05', '28', '14', '35', '26']#T12.8L88.0
['2021', '05', '28', '14', '45', '26']#T13.3L88.0
['2021', '05', '28', '14', '55', '26']#T13.3L88.0
['2021', '05', '28', '15', '05', '26']#T12.8L88.0
['2021', '05', '28', '15', '15', '26']#T12.8L88.0
['2021', '05', '28', '15', '25', '26']#T12.8L87.0
['2021', '05', '28', '15', '35', '26']#T12.8L87.0
['2021', '05', '28', '15', '45', '26']#T13.2L87.0
['2021', '05', '28', '15', '55', '26']#T13.2L87.0
['2021', '05', '28', '16', '05', '26']#T13.2L84.00001
['2021', '05', '28', '16', '15', '26']#T13.2L84.00001
['2021', '05', '28', '16', '25', '26']#T12.4L85.0
['2021', '05', '28', '16', '35', '26']#T12.4L85.0
['2021', '05', '28', '16', '45', '26']#T12.5L86.0
['2021', '05', '28', '16', '55', '26']#T12.5L86.0
['2021', '05', '28', '17', '05', '26']#T12.5L87.0
['2021', '05', '28', '17', '15', '26']#T12.5L87.0
['2021', '05', '28', '17', '25', '26']#T12.7L86.0
['2021', '05', '28', '17', '35', '26']#T12.7L86.0
['2021', '05', '28', '17', '45', '26']#T13.3L86.0
['2021', '05', '28', '17', '55', '26']#T13.3L86.0
['2021', '05', '28', '18', '05', '26']#T13.9L83.0
['2021', '05', '28', '18', '15', '26']#T13.9L83.0
['2021', '05', '28', '18', '25', '26']#T14.0L80.0
['2021', '05', '28', '18', '35', '26']#T14.0L80.0
['2021', '05', '28', '18', '45', '27']#T13.9L79.0
['2021', '05', '28', '18', '55', '27']#T13.9L79.0
['2021', '05', '28', '19', '05', '27']#T13.5L82.0
['2021', '05', '28', '19', '15', '27']#T13.5L82.0
['2021', '05', '28', '19', '25', '27']#T13.0L86.0
['2021', '05', '28', '19', '35', '27']#T13.0L86.0
['2021', '05', '28', '19', '45', '27']#T12.7L85.0
['2021', '05', '28', '19', '55', '27']#T12.7L85.0
['2021', '05', '28', '20', '05', '27']#T12.7L84.00001
['2021', '05', '28', '20', '15', '27']#T12.7L84.00001
['2021', '05', '28', '20', '25', '27']#T12.3L86.0
['2021', '05', '28', '20', '35', '27']#T12.3L86.0
['2021', '05', '28', '20', '45', '27']#T10.6L88.0
['2021', '05', '28', '20', '55', '27']#T10.6L88.0
['2021', '05', '28', '21', '05', '27']#T10.6L88.0
['2021', '05', '28', '21', '15', '27']#T10.6L88.0
['2021', '05', '28', '21', '25', '27']#T10.7L88.0
['2021', '05', '28', '21', '35', '27']#T10.7L88.0
['2021', '05', '28', '21', '45', '27']#T10.4L88.0
['2021', '05', '28', '21', '55', '27']#T10.4L88.0
['2021', '05', '28', '22', '05', '27']#T10.2L88.0
['2021', '05', '28', '22', '15', '27']#T10.2L88.0
['2021', '05', '28', '22', '25', '27']#T10.1L88.0
['2021', '05', '28', '22', '35', '27']#T10.1L88.0
['2021', '05', '28', '22', '45', '27']#T10.0L88.0
['2021', '05', '28', '22', '55', '27']#T10.0L88.0
['2021', '05', '28', '23', '05', '27']#T9.6L88.0
['2021', '05', '28', '23', '15', '27']#T9.6L88.0
['2021', '05', '28', '23', '25', '28']#T9.4L88.0
['2021', '05', '28', '23', '35', '28']#T9.4L88.0
['2021', '05', '28', '23', '45', '28']#T9.1L88.0
['2021', '05', '28', '23', '55', '28']#T9.1L88.0
['2021', '05', '29', '00', '05', '28']#T9.0L88.0
['2021', '05', '29', '00', '15', '28']#T9.0L88.0
['2021', '05', '29', '00', '25', '28']#T9.0L88.0
['2021', '05', '29', '00', '35', '28']#T9.0L88.0
['2021', '05', '29', '00', '45', '28']#T9.1L88.0
['2021', '05', '29', '00', '55', '28']#T9.1L88.0
['2021', '05', '29', '01', '05', '28']#T9.1L88.0
['2021', '05', '29', '01', '15', '28']#T9.1L88.0
['2021', '05', '29', '01', '25', '28']#T9.0L88.0
['2021', '05', '29', '01', '35', '28']#T9.0L88.0
['2021', '05', '29', '01', '45', '28']#T9.0L88.0
['2021', '05', '29', '01', '55', '28']#T9.0L88.0
['2021', '05', '29', '02', '05', '28']#T8.8L88.0
['2021', '05', '29', '02', '15', '28']#T8.8L88.0
['2021', '05', '29', '02', '25', '28']#T8.7L88.0
['2021', '05', '29', '02', '35', '28']#T8.7L88.0
['2021', '05', '29', '02', '45', '28']#T8.2L88.0
['2021', '05', '29', '02', '55', '28']#T8.2L88.0
['2021', '05', '29', '03', '05', '28']#T8.2L88.0
['2021', '05', '29', '03', '15', '28']#T8.2L88.0
['2021', '05', '29', '03', '25', '28']#T7.9L88.0
['2021', '05', '29', '03', '35', '28']#T7.9L88.0
['2021', '05', '29', '03', '45', '28']#T7.6L88.0
['2021', '05', '29', '03', '55', '28']#T7.6L88.0
['2021', '05', '29', '04', '05', '29']#T7.3L88.0
['2021', '05', '29', '04', '15', '29']#T7.3L88.0
['2021', '05', '29', '04', '25', '29']#T6.9L88.0
['2021', '05', '29', '04', '35', '29']#T6.9L88.0
['2021', '05', '29', '04', '45', '29']#T6.7L88.0
['2021', '05', '29', '04', '55', '29']#T6.7L88.0
['2021', '05', '29', '05', '05', '29']#T6.6L88.0
['2021', '05', '29', '05', '15', '29']#T6.6L88.0
['2021', '05', '29', '05', '25', '29']#T6.6L88.0
['2021', '05', '29', '05', '35', '29']#T6.6L88.0
['2021', '05', '29', '05', '45', '29']#T6.7L88.0
['2021', '05', '29', '05', '55', '29']#T6.7L88.0
['2021', '05', '29', '06', '05', '29']#T6.9L88.0
['2021', '05', '29', '06', '15', '29']#T6.9L88.0
['2021', '05', '29', '06', '25', '29']#T7.4L88.0
['2021', '05', '29', '06', '35', '29']#T7.4L88.0
['2021', '05', '29', '06', '45', '29']#T7.9L88.0
['2021', '05', '29', '06', '55', '29']#T7.9L88.0
['2021', '05', '29', '07', '05', '29']#T8.3L88.0
['2021', '05', '29', '07', '15', '29']#T8.3L88.0
['2021', '05', '29', '07', '25', '29']#T8.8L88.0
['2021', '05', '29', '07', '35', '29']#T8.8L88.0
['2021', '05', '29', '07', '45', '29']#T8.9L88.0
['2021', '05', '29', '07', '55', '29']#T8.9L88.0
['2021', '05', '29', '08', '05', '29']#T9.4L88.0
['2021', '05', '29', '08', '15', '29']#T9.4L88.0
['2021', '05', '29', '08', '25', '29']#T9.7L88.0
['2021', '05', '29', '08', '35', '29']#T9.7L88.0
['2021', '05', '29', '08', '45', '30']#T9.7L88.0
['2021', '05', '29', '08', '55', '30']#T9.7L88.0
['2021', '05', '29', '09', '05', '30']#T9.9L88.0
['2021', '05', '29', '09', '15', '30']#T9.9L88.0
['2021', '05', '29', '09', '25', '30']#T10.2L88.0
['2021', '05', '29', '09', '35', '30']#T10.2L88.0
['2021', '05', '29', '09', '45', '31']#T10.6L88.0
['2021', '05', '29', '09', '55', '31']#T10.6L88.0
['2021', '05', '29', '10', '05', '31']#T11.3L89.00001
['2021', '05', '29', '10', '15', '31']#T11.3L89.00001
['2021', '05', '29', '10', '25', '31']#T11.8L89.00001
['2021', '05', '29', '10', '35', '31']#T11.8L89.00001
['2021', '05', '29', '10', '45', '31']#T12.2L90.0
['2021', '05', '29', '10', '55', '30']#T12.2L90.0
['2021', '05', '29', '11', '06', '08']#T12.0L90.0
['2021', '05', '29', '11', '15', '30']#T12.0L90.0
['2021', '05', '29', '11', '25', '31']#T12.7L89.00001
['2021', '05', '29', '11', '35', '31']#T12.7L89.00001
['2021', '05', '29', '11', '45', '31']#T13.4L87.0
['2021', '05', '29', '11', '55', '31']#T13.4L87.0
['2021', '05', '29', '12', '05', '31']#T13.5L86.0
['2021', '05', '29', '12', '15', '31']#T13.5L86.0
['2021', '05', '29', '12', '25', '31']#T14.6L80.0
['2021', '05', '29', '12', '35', '31']#T14.6L80.0
['2021', '05', '29', '12', '45', '31']#T14.7L79.0
['2021', '05', '29', '12', '55', '31']#T14.7L79.0
['2021', '05', '29', '13', '05', '31']#T14.9L77.0
['2021', '05', '29', '13', '15', '31']#T14.9L77.0
['2021', '05', '29', '13', '25', '31']#T15.5L72.0
['2021', '05', '29', '13', '35', '31']#T15.5L72.0
['2021', '05', '29', '13', '45', '31']#T15.0L73.0
['2021', '05', '29', '13', '55', '31']#T15.0L73.0
['2021', '05', '29', '14', '05', '31']#T12.6L79.0
['2021', '05', '29', '14', '15', '31']#T12.6L79.0
['2021', '05', '29', '14', '25', '31']#T13.9L83.0
['2021', '05', '29', '14', '35', '31']#T13.9L83.0
['2021', '05', '29', '14', '45', '31']#T14.4L82.0
['2021', '05', '29', '14', '55', '31']#T14.4L82.0
['2021', '05', '29', '15', '05', '31']#T14.5L80.0
['2021', '05', '29', '15', '15', '31']#T14.5L80.0
['2021', '05', '29', '15', '25', '31']#T15.3L77.0
['2021', '05', '29', '15', '35', '31']#T15.3L77.0
['2021', '05', '29', '15', '45', '31']#T15.2L74.0
['2021', '05', '29', '15', '55', '31']#T15.2L74.0
['2021', '05', '29', '16', '05', '31']#T14.5L78.0
['2021', '05', '29', '16', '15', '31']#T14.5L78.0
['2021', '05', '29', '16', '25', '31']#T15.6L76.0
['2021', '05', '29', '16', '35', '31']#T15.6L76.0
['2021', '05', '29', '16', '45', '31']#T15.1L74.0
['2021', '05', '29', '16', '55', '31']#T15.1L74.0
['2021', '05', '29', '17', '05', '31']#T15.1L75.0
['2021', '05', '29', '17', '15', '31']#T15.1L75.0
['2021', '05', '29', '17', '25', '31']#T15.9L70.0
['2021', '05', '29', '17', '35', '31']#T15.9L70.0
['2021', '05', '29', '17', '45', '32']#T15.7L70.0
['2021', '05', '29', '17', '55', '32']#T15.7L70.0
['2021', '05', '29', '18', '05', '32']#T15.5L69.0
['2021', '05', '29', '18', '15', '32']#T15.5L69.0
['2021', '05', '29', '18', '25', '32']#T15.4L69.0
['2021', '05', '29', '18', '35', '32']#T15.4L69.0
['2021', '05', '29', '18', '45', '32']#T15.3L69.0
['2021', '05', '29', '18', '55', '32']#T15.3L69.0
['2021', '05', '29', '19', '05', '32']#T15.0L70.0
['2021', '05', '29', '19', '15', '32']#T15.0L70.0
['2021', '05', '29', '19', '25', '32']#T14.8L72.0
['2021', '05', '29', '19', '35', '32']#T14.8L72.0
['2021', '05', '29', '19', '45', '32']#T15.0L71.0
['2021', '05', '29', '19', '55', '32']#T15.0L71.0
['2021', '05', '29', '20', '05', '32']#T14.9L69.0
['2021', '05', '29', '20', '15', '32']#T14.9L69.0
['2021', '05', '29', '20', '25', '32']#T14.5L70.0
['2021', '05', '29', '20', '35', '32']#T14.5L70.0
['2021', '05', '29', '20', '45', '32']#T14.1L72.0
['2021', '05', '29', '20', '55', '32']#T14.1L72.0
['2021', '05', '29', '21', '05', '32']#T13.8L73.0
['2021', '05', '29', '21', '15', '32']#T13.8L73.0
['2021', '05', '29', '21', '25', '32']#T13.5L74.0
['2021', '05', '29', '21', '35', '32']#T13.5L74.0
['2021', '05', '29', '21', '45', '32']#T13.2L76.0
['2021', '05', '29', '21', '55', '32']#T13.2L76.0
['2021', '05', '29', '22', '05', '32']#T12.9L76.0
['2021', '05', '29', '22', '15', '32']#T12.9L76.0
['2021', '05', '29', '22', '25', '33']#T11.9L81.0
['2021', '05', '29', '22', '35', '33']#T11.9L81.0
['2021', '05', '29', '22', '45', '33']#T11.8L83.0
['2021', '05', '29', '22', '55', '33']#T11.8L83.0
['2021', '05', '29', '23', '05', '33']#T11.3L84.00001
['2021', '05', '29', '23', '15', '33']#T11.3L84.00001
['2021', '05', '29', '23', '25', '33']#T11.1L86.0
['2021', '05', '29', '23', '35', '33']#T11.1L86.0
['2021', '05', '29', '23', '45', '33']#T10.9L87.0
['2021', '05', '29', '23', '55', '33']#T10.9L87.0
['2021', '05', '30', '00', '05', '33']#T10.6L87.0
['2021', '05', '30', '00', '15', '33']#T10.6L87.0
['2021', '05', '30', '00', '25', '33']#T10.3L87.0
['2021', '05', '30', '00', '35', '33']#T10.3L87.0
['2021', '05', '30', '00', '45', '33']#T9.8L88.0
['2021', '05', '30', '00', '55', '33']#T9.8L88.0
['2021', '05', '30', '01', '05', '33']#T9.5L88.0
['2021', '05', '30', '01', '15', '33']#T9.5L88.0
['2021', '05', '30', '01', '25', '33']#T9.2L88.0
['2021', '05', '30', '01', '35', '33']#T9.2L88.0
['2021', '05', '30', '01', '45', '33']#T8.7L88.0
['2021', '05', '30', '01', '55', '33']#T8.7L88.0
['2021', '05', '30', '02', '05', '33']#T8.6L88.0
['2021', '05', '30', '02', '15', '33']#T8.6L88.0
['2021', '05', '30', '02', '25', '33']#T8.2L88.0
['2021', '05', '30', '02', '35', '33']#T8.2L88.0
['2021', '05', '30', '02', '45', '33']#T8.0L88.0
['2021', '05', '30', '02', '55', '33']#T8.0L88.0
['2021', '05', '30', '03', '05', '34']#T7.9L88.0
['2021', '05', '30', '03', '15', '34']#T7.9L88.0
['2021', '05', '30', '03', '25', '34']#T8.3L88.0
['2021', '05', '30', '03', '35', '34']#T8.3L88.0
['2021', '05', '30', '03', '45', '34']#T8.6L88.0
['2021', '05', '30', '03', '55', '34']#T8.6L88.0
['2021', '05', '30', '04', '05', '34']#T8.5L88.0
['2021', '05', '30', '04', '15', '34']#T8.5L88.0
['2021', '05', '30', '04', '25', '34']#T8.5L88.0
['2021', '05', '30', '04', '35', '34']#T8.5L88.0
['2021', '05', '30', '04', '45', '34']#T8.5L88.0
['2021', '05', '30', '04', '55', '34']#T8.5L88.0
['2021', '05', '30', '05', '05', '34']#T8.4L88.0
['2021', '05', '30', '05', '15', '34']#T8.4L88.0
['2021', '05', '30', '05', '25', '34']#T8.3L88.0
['2021', '05', '30', '05', '35', '34']#T8.3L88.0
['2021', '05', '30', '05', '45', '34']#T8.3L88.0
['2021', '05', '30', '05', '55', '34']#T8.3L88.0
['2021', '05', '30', '06', '05', '34']#T8.2L88.0
['2021', '05', '30', '06', '15', '34']#T8.2L88.0
['2021', '05', '30', '06', '25', '34']#T8.3L88.0
['2021', '05', '30', '06', '35', '34']#T8.3L88.0
['2021', '05', '30', '06', '45', '34']#T8.1L88.0
['2021', '05', '30', '06', '55', '34']#T8.1L88.0
['2021', '05', '30', '07', '05', '34']#T8.3L88.0
['2021', '05', '30', '07', '15', '34']#T8.3L88.0
['2021', '05', '30', '07', '25', '34']#T8.4L88.0
['2021', '05', '30', '07', '35', '34']#T8.4L88.0
['2021', '05', '30', '07', '45', '35']#T8.5L88.0
['2021', '05', '30', '07', '55', '35']#T8.5L88.0
['2021', '05', '30', '08', '05', '35']#T8.8L88.0
['2021', '05', '30', '08', '15', '35']#T8.8L88.0
['2021', '05', '30', '08', '25', '35']#T9.3L88.0
['2021', '05', '30', '08', '35', '35']#T9.3L88.0
['2021', '05', '30', '08', '45', '35']#T9.6L88.0
['2021', '05', '30', '08', '55', '35']#T9.6L88.0
['2021', '05', '30', '09', '05', '35']#T9.4L88.0
['2021', '05', '30', '09', '15', '35']#T9.4L88.0
['2021', '05', '30', '09', '25', '35']#T9.8L87.0
['2021', '05', '30', '09', '35', '35']#T9.8L87.0
['2021', '05', '30', '09', '45', '35']#T9.7L86.0
['2021', '05', '30', '09', '55', '35']#T9.7L86.0
['2021', '05', '30', '10', '05', '35']#T10.1L85.0
['2021', '05', '30', '10', '15', '35']#T10.1L85.0
['2021', '05', '30', '10', '25', '35']#T11.1L81.0
['2021', '05', '30', '10', '35', '35']#T11.1L81.0
['2021', '05', '30', '10', '45', '35']#T11.1L79.0
['2021', '05', '30', '10', '55', '35']#T11.1L79.0
['2021', '05', '30', '11', '05', '35']#T11.6L77.0
['2021', '05', '30', '11', '15', '35']#T11.6L77.0
['2021', '05', '30', '11', '25', '35']#T11.6L77.0
['2021', '05', '30', '11', '35', '35']#T11.6L77.0
['2021', '05', '30', '11', '45', '35']#T11.8L77.0
['2021', '05', '30', '11', '55', '35']#T11.8L77.0
['2021', '05', '30', '12', '05', '35']#T11.5L78.0
['2021', '05', '30', '12', '15', '35']#T11.5L78.0
['2021', '05', '30', '12', '25', '36']#T11.5L78.0
['2021', '05', '30', '12', '35', '36']#T11.5L78.0
['2021', '05', '30', '12', '45', '36']#T11.8L78.0
['2021', '05', '30', '12', '55', '36']#T11.8L78.0
['2021', '05', '30', '13', '05', '36']#T11.9L76.0
['2021', '05', '30', '13', '15', '36']#T11.9L76.0
['2021', '05', '30', '13', '25', '36']#T12.2L77.0
['2021', '05', '30', '13', '35', '36']#T12.2L77.0
['2021', '05', '30', '13', '45', '36']#T12.5L75.0
['2021', '05', '30', '13', '55', '36']#T12.5L75.0
['2021', '05', '30', '14', '05', '36']#T12.5L75.0
['2021', '05', '30', '14', '15', '36']#T12.5L75.0
['2021', '05', '30', '14', '25', '36']#T13.3L73.0
['2021', '05', '30', '14', '35', '36']#T13.3L73.0
['2021', '05', '30', '14', '45', '36']#T13.5L71.0
['2021', '05', '30', '14', '55', '36']#T13.5L71.0
['2021', '05', '30', '15', '05', '36']#T13.8L69.0
['2021', '05', '30', '15', '15', '36']#T13.8L69.0
['2021', '05', '30', '15', '25', '36']#T14.3L66.0
['2021', '05', '30', '15', '35', '36']#T14.3L66.0
['2021', '05', '30', '15', '45', '36']#T14.4L65.0
['2021', '05', '30', '15', '55', '36']#T14.4L65.0
['2021', '05', '30', '16', '05', '36']#T14.8L65.0
['2021', '05', '30', '16', '15', '36']#T14.8L65.0
['2021', '05', '30', '16', '25', '36']#T14.9L65.0
['2021', '05', '30', '16', '35', '36']#T14.9L65.0
['2021', '05', '30', '16', '45', '36']#T15.0L63.0
['2021', '05', '30', '16', '55', '36']#T15.0L63.0
['2021', '05', '30', '17', '05', '37']#T15.3L64.0
['2021', '05', '30', '17', '15', '37']#T15.3L64.0
['2021', '05', '30', '17', '25', '37']#T15.1L64.0
['2021', '05', '30', '17', '35', '37']#T15.1L64.0
['2021', '05', '30', '17', '45', '37']#T15.4L65.0
['2021', '05', '30', '17', '55', '37']#T15.4L65.0
['2021', '05', '30', '18', '05', '37']#T15.2L64.0
['2021', '05', '30', '18', '15', '37']#T15.2L64.0
['2021', '05', '30', '18', '25', '37']#T15.0L63.0
['2021', '05', '30', '18', '35', '37']#T15.0L63.0
['2021', '05', '30', '18', '45', '37']#T15.0L65.0
['2021', '05', '30', '18', '55', '37']#T15.0L65.0
['2021', '05', '30', '19', '05', '37']#T14.9L64.0
['2021', '05', '30', '19', '15', '37']#T14.9L64.0
['2021', '05', '30', '19', '25', '37']#T14.7L65.0
['2021', '05', '30', '19', '35', '37']#T14.7L65.0
['2021', '05', '30', '19', '45', '37']#T14.6L65.0
['2021', '05', '30', '19', '55', '37']#T14.6L65.0
['2021', '05', '30', '20', '05', '37']#T14.1L69.0
['2021', '05', '30', '20', '15', '37']#T14.1L69.0
['2021', '05', '30', '20', '25', '37']#T13.4L71.0
['2021', '05', '30', '20', '35', '37']#T13.4L71.0
['2021', '05', '30', '20', '45', '37']#T12.8L72.0
['2021', '05', '30', '20', '55', '37']#T12.8L72.0
['2021', '05', '30', '21', '05', '37']#T12.3L74.0
['2021', '05', '30', '21', '15', '37']#T12.3L74.0
['2021', '05', '30', '21', '25', '38']#T11.7L75.0
['2021', '05', '30', '21', '35', '38']#T11.7L75.0
['2021', '05', '30', '21', '45', '38']#T11.2L76.0
['2021', '05', '30', '21', '55', '38']#T11.2L76.0
['2021', '05', '30', '22', '05', '38']#T10.6L77.0
['2021', '05', '30', '22', '15', '38']#T10.6L77.0
['2021', '05', '30', '22', '25', '38']#T10.1L78.0
['2021', '05', '30', '22', '35', '38']#T10.1L78.0
['2021', '05', '30', '22', '45', '38']#T9.9L79.0
['2021', '05', '30', '22', '55', '38']#T9.9L79.0
['2021', '05', '30', '23', '05', '38']#T9.7L80.0
['2021', '05', '30', '23', '15', '38']#T9.7L80.0
['2021', '05', '30', '23', '25', '38']#T9.3L81.0
['2021', '05', '30', '23', '35', '38']#T9.3L81.0
['2021', '05', '30', '23', '45', '38']#T8.9L83.0
['2021', '05', '30', '23', '55', '38']#T8.9L83.0
['2021', '05', '31', '00', '05', '38']#T8.8L83.0
['2021', '05', '31', '00', '15', '38']#T8.8L83.0
['2021', '05', '31', '00', '25', '38']#T8.6L84.00001
['2021', '05', '31', '00', '35', '38']#T8.6L84.00001
['2021', '05', '31', '00', '45', '38']#T8.4L85.0
['2021', '05', '31', '00', '55', '38']#T8.4L85.0
['2021', '05', '31', '01', '05', '38']#T8.2L86.0
['2021', '05', '31', '01', '15', '38']#T8.2L86.0
['2021', '05', '31', '01', '25', '38']#T8.0L86.0
['2021', '05', '31', '01', '35', '38']#T8.0L86.0
['2021', '05', '31', '01', '45', '38']#T8.0L87.0
['2021', '05', '31', '01', '55', '38']#T8.0L87.0
['2021', '05', '31', '02', '05', '39']#T7.8L87.0
['2021', '05', '31', '02', '15', '39']#T7.8L87.0
['2021', '05', '31', '02', '25', '39']#T7.9L88.0
['2021', '05', '31', '02', '35', '39']#T7.9L88.0
['2021', '05', '31', '02', '45', '39']#T7.8L88.0
['2021', '05', '31', '02', '55', '39']#T7.8L88.0
['2021', '05', '31', '03', '05', '39']#T7.6L88.0
['2021', '05', '31', '03', '15', '39']#T7.6L88.0
['2021', '05', '31', '03', '25', '39']#T7.3L88.0
['2021', '05', '31', '03', '35', '39']#T7.3L88.0
['2021', '05', '31', '03', '45', '39']#T7.1L88.0
['2021', '05', '31', '03', '55', '39']#T7.1L88.0
['2021', '05', '31', '04', '05', '39']#T6.9L88.0
['2021', '05', '31', '04', '15', '39']#T6.9L88.0
['2021', '05', '31', '04', '25', '39']#T6.6L88.0
['2021', '05', '31', '04', '35', '39']#T6.6L88.0
['2021', '05', '31', '04', '45', '39']#T6.5L88.0
['2021', '05', '31', '04', '55', '39']#T6.5L88.0
['2021', '05', '31', '05', '05', '39']#T6.2L88.0
['2021', '05', '31', '05', '15', '39']#T6.2L88.0
['2021', '05', '31', '05', '25', '39']#T6.2L88.0
['2021', '05', '31', '05', '35', '39']#T6.2L88.0
['2021', '05', '31', '05', '45', '39']#T6.0L88.0
['2021', '05', '31', '05', '55', '39']#T6.0L88.0
['2021', '05', '31', '06', '05', '39']#T6.4L88.0
['2021', '05', '31', '06', '15', '39']#T6.4L88.0
['2021', '05', '31', '06', '25', '39']#T6.6L88.0
['2021', '05', '31', '06', '35', '39']#T6.6L88.0
['2021', '05', '31', '06', '45', '40']#T7.2L88.0
['2021', '05', '31', '06', '55', '40']#T7.2L88.0
['2021', '05', '31', '07', '05', '40']#T8.0L88.0
['2021', '05', '31', '07', '15', '40']#T8.0L88.0
['2021', '05', '31', '07', '25', '40']#T9.0L88.0
['2021', '05', '31', '07', '35', '40']#T9.0L88.0
['2021', '05', '31', '07', '45', '40']#T10.6L86.0
['2021', '05', '31', '07', '55', '40']#T10.6L86.0
['2021', '05', '31', '08', '05', '40']#T11.3L85.0
['2021', '05', '31', '08', '15', '40']#T11.3L85.0
['2021', '05', '31', '08', '25', '40']#T12.0L85.0
['2021', '05', '31', '08', '35', '40']#T12.0L85.0
['2021', '05', '31', '08', '45', '40']#T12.9L81.0
['2021', '05', '31', '08', '55', '40']#T12.9L81.0
['2021', '05', '31', '09', '05', '40']#T13.4L80.0
['2021', '05', '31', '09', '15', '40']#T13.4L80.0
['2021', '05', '31', '09', '25', '40']#T14.0L77.0
['2021', '05', '31', '09', '35', '40']#T14.0L77.0
